iter	Passed	Remaining
0	4	449
1	8	408
2	12	399
3	16	402
4	20	390
5	24	382
6	28	376
7	32	374
8	36	367
9	40	361
10	43	354
11	48	352
12	51	346
13	57	352
14	62	353
15	67	353
16	72	353
17	76	350
18	80	344
19	84	338
20	88	331
21	92	326
22	96	321
23	99	315
24	103	309
25	106	301
26	108	293
27	110	284
28	113	276
29	114	267
30	116	259
31	118	250
32	119	242
33	121	235
34	122	227
35	124	221
36	125	214
37	127	207
38	128	201
39	129	194
40	131	188
41	132	183
42	133	177
43	134	171
44	135	166
45	137	160
46	138	155
47	139	151
48	140	146
49	141	141
50	142	137
51	144	133
52	145	129
53	146	124
54	147	121
55	149	117
56	150	113
57	151	109
58	153	106
59	154	102
60	155	99
61	156	96
62	158	92
63	159	89
64	160	86
65	162	83
66	163	80
67	164	77
68	166	74
69	167	71
70	168	69
71	170	66
72	171	63
73	172	60
74	173	57
75	175	55
76	176	52
77	177	50
78	178	47
79	179	44
80	180	42
81	181	39
82	182	37
83	183	35
84	185	32
85	186	30
86	187	27
87	188	25
88	189	23
89	190	21
90	191	18
91	193	16
92	194	14
93	196	12
94	197	10
95	198	8
96	199	6
97	200	4
98	202	2
99	203	0
