iter	Passed	Remaining
0	9	9211
1	12	6226
2	14	4747
3	16	4012
4	18	3597
5	22	3744
6	25	3579
7	27	3376
8	28	3172
9	30	3010
10	31	2866
11	33	2759
12	37	2866
13	39	2785
14	41	2710
15	43	2646
16	44	2591
17	46	2539
18	52	2731
19	56	2749
20	57	2692
21	59	2665
22	61	2613
23	63	2570
24	65	2553
25	69	2602
26	72	2619
27	74	2573
28	75	2530
29	77	2498
30	78	2469
31	82	2505
32	85	2514
33	87	2483
34	88	2449
35	90	2427
36	92	2400
37	93	2377
38	97	2403
39	100	2412
40	102	2388
41	103	2364
42	105	2337
43	106	2312
44	107	2286
45	109	2266
46	115	2342
47	117	2328
48	119	2310
49	120	2291
50	121	2270
51	123	2249
52	128	2288
53	132	2315
54	135	2322
55	137	2320
56	143	2380
57	149	2427
58	152	2428
59	154	2420
60	160	2473
61	163	2468
62	165	2461
63	167	2447
64	169	2432
65	170	2416
66	175	2443
67	177	2436
68	179	2426
69	182	2418
70	184	2407
71	187	2421
72	192	2443
73	194	2435
74	196	2421
75	200	2439
76	204	2455
77	206	2442
78	208	2430
79	210	2418
80	211	2404
81	213	2392
82	216	2397
83	219	2388
84	220	2374
85	222	2366
86	224	2353
87	225	2340
88	227	2330
89	233	2358
90	235	2347
91	236	2337
92	238	2329
93	240	2321
94	242	2312
95	246	2325
96	249	2324
97	251	2314
98	253	2306
99	255	2296
100	256	2284
101	258	2273
102	263	2291
103	264	2281
104	266	2272
105	268	2262
106	269	2252
107	271	2242
108	273	2231
109	277	2248
110	280	2245
111	282	2238
112	283	2228
113	285	2220
114	287	2212
115	292	2225
116	293	2218
117	295	2210
118	297	2201
119	298	2191
120	300	2182
121	301	2170
122	303	2161
123	305	2159
124	307	2154
125	309	2146
126	310	2135
127	312	2128
128	458	3096
129	460	3082
130	463	3072
131	465	3061
132	472	3078
133	474	3067
134	477	3056
135	479	3043
136	481	3031
137	486	3041
138	488	3028
139	490	3015
140	492	3002
141	494	2985
142	496	2973
143	500	2977
144	503	2967
145	505	2957
146	507	2946
147	509	2935
148	514	2936
149	517	2933
150	520	2925
151	522	2914
152	524	2902
153	526	2891
154	532	2904
155	535	2896
156	537	2888
157	540	2880
158	544	2879
159	547	2873
160	548	2860
161	550	2850
162	553	2840
163	554	2828
164	557	2823
165	559	2812
166	561	2800
167	563	2788
168	564	2777
169	566	2766
170	571	2768
171	573	2760
172	575	2749
173	576	2738
174	578	2727
175	580	2716
176	581	2704
177	584	2698
178	586	2689
179	587	2677
180	589	2665
181	590	2653
182	591	2642
183	593	2630
184	594	2619
185	596	2608
186	598	2601
187	602	2602
188	603	2591
189	605	2580
190	606	2569
191	608	2560
192	609	2549
193	611	2538
194	615	2539
195	617	2534
196	619	2525
197	621	2516
198	623	2509
199	625	2500
200	626	2491
201	631	2493
202	632	2483
203	634	2473
204	635	2464
205	636	2454
206	641	2457
207	645	2457
208	648	2452
209	649	2442
210	650	2433
211	652	2424
212	653	2414
213	654	2405
214	656	2396
215	659	2395
216	662	2390
217	663	2381
218	665	2372
219	666	2363
220	668	2354
221	669	2345
222	670	2337
223	672	2329
224	676	2329
225	677	2321
226	679	2312
227	680	2304
228	682	2296
229	683	2288
230	685	2281
231	687	2275
232	692	2279
233	694	2272
234	695	2265
235	697	2257
236	698	2250
237	700	2242
238	701	2234
239	705	2234
240	708	2229
241	709	2222
242	711	2215
243	712	2209
244	714	2202
245	716	2195
246	719	2192
247	721	2188
248	723	2182
249	725	2175
250	726	2168
251	728	2161
252	729	2155
253	731	2148
254	734	2147
255	737	2143
256	739	2137
257	742	2136
258	744	2129
259	745	2122
260	747	2115
261	751	2117
262	753	2111
263	754	2104
264	756	2098
265	757	2090
266	759	2084
267	760	2077
268	761	2070
269	765	2070
270	767	2063
271	768	2057
272	770	2051
273	772	2046
274	774	2040
275	775	2034
276	777	2028
277	781	2029
278	784	2026
279	785	2020
280	787	2014
281	788	2008
282	790	2002
283	791	1996
284	797	2000
285	799	1995
286	800	1989
287	802	1984
288	804	1979
289	806	1973
290	807	1967
291	812	1970
292	815	1966
293	816	1961
294	818	1955
295	820	1950
296	821	1945
297	826	1946
298	829	1945
299	831	1940
300	833	1934
301	834	1929
302	836	1923
303	837	1918
304	841	1917
305	843	1913
306	845	1908
307	846	1902
308	848	1897
309	850	1892
310	851	1887
311	856	1888
312	861	1890
313	863	1885
314	864	1880
315	866	1875
316	870	1874
317	873	1872
318	874	1867
319	876	1863
320	878	1858
321	880	1853
322	881	1848
323	886	1848
324	888	1845
325	890	1841
326	892	1836
327	893	1831
328	895	1826
329	897	1822
330	900	1820
331	902	1816
332	904	1810
333	905	1805
334	907	1800
335	908	1795
336	910	1790
337	911	1786
338	917	1788
339	920	1785
340	922	1782
341	924	1778
342	926	1774
343	928	1769
344	933	1771
345	934	1766
346	971	1828
347	973	1823
348	976	1822
349	979	1819
350	982	1815
351	983	1810
352	985	1805
353	986	1800
354	988	1795
355	990	1791
356	993	1789
357	995	1785
358	997	1781
359	999	1776
360	1001	1772
361	1003	1767
362	1004	1763
363	1009	1764
364	1012	1760
365	1014	1756
366	1015	1752
367	1017	1747
368	1018	1742
369	1022	1741
370	1025	1739
371	1027	1734
372	1029	1730
373	1030	1725
374	1032	1720
375	1033	1715
376	1037	1714
377	1040	1712
378	1042	1707
379	1043	1703
380	1045	1698
381	1047	1694
382	1049	1690
383	1054	1691
384	1056	1687
385	1058	1683
386	1060	1679
387	1061	1675
388	1063	1670
389	1068	1670
390	1070	1667
391	1072	1662
392	1073	1658
393	1075	1654
394	1077	1650
395	1079	1646
396	1083	1645
397	1084	1641
398	1086	1636
399	1088	1632
400	1089	1627
401	1091	1623
402	1093	1619
403	1094	1614
404	1098	1613
405	1100	1610
406	1102	1606
407	1104	1602
408	1105	1597
409	1108	1595
410	1110	1590
411	1114	1590
412	1116	1587
413	1119	1584
414	1121	1580
415	1123	1577
416	1129	1578
417	1132	1576
418	1135	1573
419	1137	1570
420	1143	1573
421	1146	1570
422	1149	1567
423	1154	1568
424	1160	1570
425	1163	1567
426	1166	1564
427	1168	1562
428	1175	1564
429	1177	1561
430	1180	1558
431	1182	1554
432	1193	1562
433	1195	1559
434	1198	1557
435	1205	1559
436	1208	1556
437	1210	1553
438	1212	1550
439	1215	1546
440	1219	1546
441	1224	1545
442	1226	1542
443	1228	1538
444	1230	1535
445	1239	1539
446	1241	1536
447	1244	1533
448	1246	1529
449	1255	1534
450	1257	1531
451	1260	1528
452	1277	1542
453	1279	1538
454	1287	1542
455	1290	1539
456	1293	1536
457	1298	1536
458	1302	1535
459	1304	1531
460	1307	1529
461	1313	1529
462	1319	1530
463	1322	1527
464	1333	1534
465	1336	1532
466	1340	1529
467	1342	1526
468	1349	1527
469	1351	1524
470	1354	1521
471	1356	1517
472	1361	1516
473	1363	1512
474	1365	1509
475	1367	1505
476	1370	1502
477	1373	1500
478	1380	1501
479	1383	1498
480	1385	1495
481	1388	1491
482	1395	1493
483	1399	1491
484	1403	1490
485	1412	1493
486	1415	1491
487	1418	1487
488	1420	1484
489	1426	1484
490	1429	1481
491	1431	1478
492	1434	1475
493	1438	1473
494	1460	1489
495	1464	1487
496	1467	1484
497	1479	1491
498	1482	1488
499	1495	1495
500	1499	1493
501	1503	1491
502	1506	1488
503	1514	1490
504	1519	1489
505	1525	1489
506	1528	1486
507	1534	1486
508	1540	1485
509	1542	1482
510	1549	1483
511	1554	1481
512	1557	1478
513	1562	1477
514	1569	1477
515	1571	1473
516	1573	1470
517	1578	1468
518	1582	1466
519	1585	1463
520	1588	1460
521	1594	1459
522	1597	1456
523	1600	1454
524	1603	1451
525	1612	1452
526	1614	1449
527	1617	1445
528	1619	1442
529	1625	1441
530	1627	1437
531	1629	1433
532	1631	1429
533	1634	1426
534	1637	1423
535	1642	1421
536	1644	1417
537	1647	1414
538	1649	1410
539	1651	1406
540	1658	1407
541	1661	1403
542	1664	1400
543	1666	1396
544	1671	1395
545	1673	1391
546	1675	1387
547	1677	1383
548	1679	1379
549	1680	1375
550	1682	1371
551	1686	1368
552	1688	1364
553	1690	1361
554	1692	1357
555	1694	1353
556	1696	1349
557	1700	1346
558	1703	1344
559	1705	1340
560	1710	1338
561	1713	1335
562	1720	1335
563	1723	1331
564	1732	1333
565	1740	1334
566	1742	1330
567	1751	1331
568	1754	1329
569	1759	1327
570	1763	1324
571	1766	1322
572	1770	1319
573	1782	1322
574	1788	1321
575	1793	1320
576	1796	1316
577	1799	1313
578	1804	1312
579	1807	1308
580	1826	1317
581	1828	1313
582	1840	1316
583	1842	1312
584	1848	1311
585	1853	1309
586	1855	1305
587	1858	1302
588	1900	1326
589	1904	1323
590	1906	1319
591	1909	1315
592	1914	1313
593	1918	1311
594	1920	1307
595	1923	1304
596	1928	1301
597	1934	1300
598	1956	1309
599	1966	1310
600	1970	1307
601	1973	1304
602	1982	1305
603	1984	1301
604	1988	1298
605	1990	1294
606	1997	1293
607	2030	1309
608	2033	1305
609	2037	1302
610	2041	1299
611	2046	1297
612	2048	1293
613	2051	1289
614	2060	1289
615	2064	1286
616	2066	1282
617	2069	1278
618	2096	1290
619	2100	1287
620	2105	1284
621	2110	1282
622	2112	1278
623	2114	1274
624	2117	1270
625	2124	1269
626	2127	1265
627	2129	1261
628	2164	1276
629	2170	1274
630	2173	1271
631	2177	1267
632	2181	1264
633	2186	1262
634	2189	1258
635	2191	1254
636	2194	1250
637	2201	1249
638	2204	1245
639	2213	1245
